id	filename	md5	size	state
4fb7f6d8-8902-49dd-a063-c54262ba34b8	4fb7f6d8-8902-49dd-a063-c54262ba34b8/e5566a01-645c-46db-b094-159693428dec.FPKM.txt.gz	f2deb8d6ae686932821c5e20ace866f8	527816	validated
54290733-79a9-45c1-92c0-999471dbbddf	54290733-79a9-45c1-92c0-999471dbbddf/c13bf3e3-3287-485b-a5d2-5371af7897fb.FPKM.txt.gz	d83586db5be0cace2c5a6c127e617206	537308	validated
5ea335eb-0c43-435f-9913-4573eb918813	5ea335eb-0c43-435f-9913-4573eb918813/a69e1384-d0ce-4ad7-b1b1-fe5c38aa6cb8.FPKM.txt.gz	e4028eab554da5f34f3b0cf047b1d317	526412	validated
6025b602-0740-4e0e-8cc6-4fceca6eb9f6	6025b602-0740-4e0e-8cc6-4fceca6eb9f6/e9a2c588-ffce-42f6-9ba2-45a859fef61f.FPKM.txt.gz	0e906884dabb982258d3250cedbcda76	537344	validated
660159a1-1661-4864-bbda-03f52da53b08	660159a1-1661-4864-bbda-03f52da53b08/85aa8cbf-f8c4-4b10-b758-6644c4f705a4.FPKM.txt.gz	09990f2211c1e88f5644dbb473a724b9	519662	validated
66ed370f-f20c-4a8b-9035-80e2d2d62dbc	66ed370f-f20c-4a8b-9035-80e2d2d62dbc/96f709bd-23b2-46cd-b0a0-cc2ab74ff73e.FPKM.txt.gz	0dc100367f07a5fc70826d92b0bad443	526791	validated
724a78a8-a55d-4e70-b147-fc555f06353c	724a78a8-a55d-4e70-b147-fc555f06353c/e32c7fe0-81ce-4cc8-880b-79d5cafa3dc1.FPKM.txt.gz	020f51c30c7ddbf3559e2c51e37a38c9	543562	validated
776dee86-e307-43f3-9a3d-7ed7f35ad26f	776dee86-e307-43f3-9a3d-7ed7f35ad26f/dc7826af-618a-4607-9cf2-f5b2f6f15406.FPKM.txt.gz	7cb217aab12ff994140ad57631cb5770	532999	validated
79589af1-4595-42e5-902a-f29560e143d8	79589af1-4595-42e5-902a-f29560e143d8/78b598c7-f670-4cbc-8c75-ac29bde3bcf4.FPKM.txt.gz	7d05cddb3fc0228beff622366fcf3643	534505	validated
7eff71f1-94b0-4f67-a034-e189865df021	7eff71f1-94b0-4f67-a034-e189865df021/a77ce22e-2de2-40d0-a02d-2da4135a891a.FPKM.txt.gz	1b464a57d4d76027b86001ea62a41faf	515687	validated
889fbcaa-af4f-41c2-970e-d01d5098f5a5	889fbcaa-af4f-41c2-970e-d01d5098f5a5/40061da3-4d17-4319-a4a8-22b0fbad9fd9.FPKM.txt.gz	8b3768a210dab2be0e77ca81920b031d	535085	validated
8e7db275-5daa-4bb7-92d7-d5a7f1940ce4	8e7db275-5daa-4bb7-92d7-d5a7f1940ce4/085d1072-73d9-4d5c-865f-782c4eb173a1.FPKM.txt.gz	2ce581dffc34a9180ace1b85b93ccc12	510552	validated
90ae8a13-3b9d-4e4b-b6be-fa8855aae493	90ae8a13-3b9d-4e4b-b6be-fa8855aae493/96b0e0aa-1d9a-4864-a53a-481fc7446cda.FPKM.txt.gz	12cea6b044d37a310f95b4ff36fb5d2f	535761	validated
95d7fce1-88c4-4785-9a92-24aabef17b1d	95d7fce1-88c4-4785-9a92-24aabef17b1d/7b33490c-6699-4393-8085-803afadbc344.FPKM.txt.gz	3e78845449935d323b5439f847d3efcf	524767	validated
974bd16b-6ca2-4403-9ded-e49fd36f9e2e	974bd16b-6ca2-4403-9ded-e49fd36f9e2e/1ab1536f-cc6c-499c-b555-96c62327471d.FPKM.txt.gz	b2f0c6d84a313ae7642ecaeea1e4dd92	486840	validated
98844b4e-9207-439c-bc99-2173ea781f7a	98844b4e-9207-439c-bc99-2173ea781f7a/47807887-8bda-45be-a466-4970f198ce4d.FPKM.txt.gz	0474d53896c25f354b722543fdd40df7	541877	validated
99892a9f-2c52-495f-a7ef-8021668dc667	99892a9f-2c52-495f-a7ef-8021668dc667/ae1ca60a-1b87-418f-94dd-e1b707352941.FPKM.txt.gz	06999eff4e9174b92c1eac78abb8fd5b	527350	validated
a3df5a33-3077-4a6e-9db2-0819f350b11a	a3df5a33-3077-4a6e-9db2-0819f350b11a/bf78a3d4-5bd8-47fd-8dbd-c46834a86eab.FPKM.txt.gz	28b83d8677af751c2863e10ee2af0153	543680	validated
a5388bdc-e538-4011-9950-da9e430a5647	a5388bdc-e538-4011-9950-da9e430a5647/43f59329-24dd-44bf-aa97-887a2998ab81.FPKM.txt.gz	eb033fe082f9a6a599c99133780e3101	529394	validated
a83c7413-9bc4-4d3c-9d55-93c8ad544d5c	a83c7413-9bc4-4d3c-9d55-93c8ad544d5c/c739af4b-e4b6-46c4-8131-a9fe926468c6.FPKM.txt.gz	56ef249375f6edbc3e971f987167bdf6	551201	validated
a8d276f0-ec8f-4dd3-8c6a-5d3c3c5cee7f	a8d276f0-ec8f-4dd3-8c6a-5d3c3c5cee7f/731af067-9958-4967-b638-fc2a8a6bcf1f.FPKM.txt.gz	3ee0fcbd0a1f89f48b1fa925a1da81aa	532612	validated
ae94e591-10c1-4e94-ad1e-54b729305a3d	ae94e591-10c1-4e94-ad1e-54b729305a3d/34b13a68-e96d-47f7-a766-ff9fdfcc2d81.FPKM.txt.gz	816e3d6e55f8bd657f9709fdb5fa4a56	519756	validated
